Date,High,Low,Open,Close,Volume,Adj Close
19-08-2004,2.591785,2.390042,2.490664,2.499133,897427216,2.499133
20-08-2004,2.716817,2.503118,2.51582,2.697639,458857488,2.697639
23-08-2004,2.826406,2.71607,2.758411,2.724787,366857939,2.724787
24-08-2004,2.779581,2.579581,2.770615,2.61196,306396159,2.61196
25-08-2004,2.689918,2.587302,2.614201,2.640104,184645512,2.640104
26-08-2004,2.688672,2.606729,2.613952,2.687676,142572401,2.687676
27-08-2004,2.70536,2.632383,2.692408,2.64384,124826132,2.64384
30-08-2004,2.627402,2.540727,2.622171,2.540727,104429967,2.540727
31-08-2004,2.583068,2.544463,2.54795,2.549693,98825037,2.549693
01-09-2004,2.564637,2.482445,2.557912,2.496891,183633734,2.496891
02-09-2004,2.549693,2.464263,2.47049,2.528273,303810504,2.528273
03-09-2004,2.534002,2.473728,2.514326,2.490913,103538639,2.490913
07-09-2004,2.540478,2.480951,2.51582,2.530017,117506800,2.530017
08-09-2004,2.566132,2.503118,2.509095,2.54795,100186120,2.54795
09-09-2004,2.558161,2.515571,2.553678,2.548199,81620792,2.548199
10-09-2004,2.654052,2.523043,2.530515,2.623417,174804764,2.623417
13-09-2004,2.700129,2.651561,2.655795,2.677464,157628624,2.677464
14-09-2004,2.789544,2.65978,2.676219,2.776842,217608605,2.776842
15-09-2004,2.845086,2.744712,2.753679,2.789544,215279909,2.789544
16-09-2004,2.884189,2.780827,2.798012,2.83861,186207345,2.83861
17-09-2004,2.926282,2.828149,2.849818,2.926282,190350817,2.926282
20-09-2004,3.028648,2.908349,2.912832,2.972857,213585582,2.972857
21-09-2004,2.999258,2.92678,2.984065,2.934999,145262446,2.934999
22-09-2004,2.980578,2.909345,2.92404,2.948448,152344894,2.948448
23-09-2004,3.054302,2.914575,2.959906,3.009221,171524515,3.009221
24-09-2004,3.090914,2.98282,3.012209,2.984563,183336625,2.984563
27-09-2004,3.010715,2.934003,2.977838,2.94546,141994242,2.94546
28-09-2004,3.173106,2.994028,3.021176,3.159657,340190355,3.159657
29-09-2004,3.362895,3.143966,3.155672,3.264763,613229953,3.264763
30-09-2004,3.295149,3.212957,3.235373,3.227901,276468402,3.227901
01-10-2004,3.343468,3.210466,3.257789,3.302123,303934969,3.302123
04-10-2004,3.408972,3.338237,3.368624,3.363891,261693228,3.363891
05-10-2004,3.450317,3.293655,3.353929,3.446332,300887589,3.446332
06-10-2004,3.448325,3.387304,3.425909,3.414203,268900140,3.414203
